,angle
436,62.81524196035117
437,63.00010979151402
438,63.95581489705731
439,63.64740127341386
440,66.89023068156492
441,62.47068104777299
442,67.61785010401724
443,65.34961352117372
444,64.09736221902835
445,60.89430067906148
446,64.51039913116382
447,62.857061026796764
448,68.92367098750213
449,65.68406126473234
450,63.49912705275037
451,63.78210190983967
452,63.20570066970101
453,62.53704059497834
454,61.991667999277475
455,62.97954871497829
456,64.50135613186454
457,60.87236765779556
458,61.83348668187869
459,64.34183531770036
460,64.13328354951163
461,64.14620184436708
462,64.91436046294417
463,65.53303276711773
464,63.801520087821984
465,62.597373899727174
466,67.44577418883013
467,64.61317381382345
468,64.16880300378392
469,63.5753918007099
470,68.19506023118593
471,63.955093514798136
472,64.00066370151941
473,61.18861438692044
474,65.07790976391645
475,63.86033114021667
476,67.37929616068722
477,65.16376699025973
478,63.58189520696534
479,62.58996231947483
480,65.0049162797461
481,64.65480985240907
482,62.61034646090657
483,65.33733274277019
484,64.83059735183794
485,63.75899147247192
486,62.830758809338924
487,64.64818357315735
488,60.42554898494622
489,63.5287115742322
490,61.18266097585962
491,63.8904083377153
492,63.38237772656638
493,63.288026650258246
494,61.62422889929025
495,61.41238940795943
496,65.49107621021979
497,62.378233982468586
498,65.03613789372865
499,62.58827137242728
500,61.95563846490406
501,64.41635339168529
502,61.59956338978812
503,59.68070555602128
504,62.975482495051835
505,63.17574264704925
506,65.02188896490694
507,63.59035117555796
508,64.79698591596808
509,61.897768827427086
510,64.78548539485284
511,63.84144376883369
512,63.34823838012444
513,62.773698096116945
514,60.903356048105444
515,59.843042623722106
516,63.40414601801763
517,60.999621984796406
518,65.63226278182167
519,63.791327599038
520,63.62747234789776
521,63.31850004859914
522,61.94059009281877
523,62.256825548696746
524,62.73738198143729
525,62.0004925967147
526,63.89531161742375
527,63.7360782497181
528,63.277445690658084
529,65.29831759337104
530,63.13526396854481
531,67.69439777280253
532,63.68287130798635
533,61.50963092492627
534,62.9185783808219
535,61.27703609210818
536,64.303569476352
537,62.16071878608477
538,59.429038937092805
539,61.92277887287807
540,64.62179609660231
541,61.91001949555756
542,64.99911810884097
543,65.37944253058333
544,63.16397122639432
545,64.13385730388066
546,60.29925061048247
547,58.557803255639655
548,59.279791147279724
549,58.93468645831264
550,57.678575439381994
551,53.126934123412546
552,55.955615487909014
553,53.27844751236962
554,53.545774910937034
555,59.84066524177207
556,63.790376426690976
557,54.42984135847522
558,57.511748931323375
559,54.87649502538855
560,53.250437666505064
561,56.169030207713575
562,57.171985287875714
563,55.260153494579114
564,52.472335381166765
565,55.23027320123867
566,55.77059126120331
567,56.376060312477925
568,61.95725873514724
569,58.6591508167626
570,58.23190478910174
571,56.31717852764091
572,58.06979720368168
573,57.21718523345165
574,66.62770779023467
575,60.389081045527824
576,57.63764835126587
577,60.78547130862444
578,58.69343020519446
579,64.21195200448368
580,62.4317512160887
581,60.85633345477493
582,59.90399759102411
583,58.29170538386033
584,56.947896432273474
585,63.336745164944304
586,58.01207349058303
587,60.78237976553372
588,60.38756971522937
589,60.6408041115616
590,62.495178134566764
591,61.575062155068345
592,60.98191519316295
593,59.415632440184446
594,57.53046862603911
595,60.19589297191213
596,59.32425858984531
597,59.70290844402126
598,58.37082887551023
599,61.530349029918774
600,60.53062482263965
601,55.6839776356226
602,55.44169095493746
603,57.814646101511784
604,60.209315033284824
605,57.28386921385897
606,58.550223370385886
607,59.29639491118004
608,62.440601454210885
609,59.90696097018491
610,59.93434569519887
611,56.175549877720314
612,59.46099125266595
613,58.96736076263098
614,59.12775247191257
615,60.42764625531568
616,60.37884348545349
617,58.516968633256596
618,57.53594914364292
619,58.98548450076594
620,62.45595115513818
621,57.09503691135939
622,59.57761568963118
623,58.243596040494204
624,58.899362147313965
625,60.08077420785399
626,60.36029199455448
627,59.740542844271616
628,60.05781254516175
629,56.386650553451304
630,58.572370688629164
631,62.01824262993207
632,63.33342278572422
633,56.884247607097755
634,60.63905627946004
635,59.264534144166376
636,59.60335033706679
637,58.19782946964364
638,59.832000630552834
639,57.699760365678024
640,63.810967051013506
641,63.15994349361991
642,65.1035728302751
643,63.578790803120384
644,64.41173809029813
645,62.54862884166638
646,60.659111859381525
647,61.6117654410824
648,62.92246238168488
649,62.65338376554022
650,66.1105801054762
651,63.378273364433774
652,63.94801413769483
653,63.66048610785503
654,60.44583055258647
655,63.270200611060424
656,58.27644819974008
657,59.08795380269695
658,60.108312731746395
659,61.20426521784473
660,61.933180791820895
661,61.83582611666752
662,59.9907321179432
663,60.6630197845078
664,57.92999877136732
665,55.729909487171305
666,58.59699290374436
667,55.651943574215665
668,54.00611257490038
669,57.82851974727782
