#Frame             d1           d2           d3
     393      44.6522    -111.5333     -76.8521
     394      50.2624     -98.9261     -64.0254
     395      55.5085     -97.5061     -69.8987
     396      45.6094    -103.2016     -64.3704
     397      49.0359    -102.7831     -79.2256
     398      50.4130     -98.8200     -88.9900
     399      60.4551     -35.4531    -104.8244
     400      57.0478     -36.5906    -107.5863
     401      48.5673     -15.8538    -100.2162
     402      61.0642     -46.6415    -102.3994
     403      70.9076     -47.3098     -90.2538
     404      62.4375     -36.8111     -81.6955
     405      55.8397     -24.3904    -108.4920
     406      68.6518     -32.3191    -109.8330
     407      65.1251     -40.8083     -73.3907
     408      55.5512     -35.9782    -112.7713
     409      53.3793     -28.6364    -104.4501
     410      72.1240     -36.8025     -97.9248
     411      47.0875     -30.8858     -99.8103
     412      57.6197     -41.1601     -93.9533
     413      45.4002     -46.6409     -93.2099
     414      36.4963     -39.7564    -103.5349
     415      64.8645     -43.7206     -99.9437
     416      51.0777     -33.7104     -90.3434
     417      43.5729       4.3314    -114.5782
     418      36.3400       5.8786    -123.6272
     419      30.8580      12.1222    -118.3539
     420      40.5049      15.3894    -110.1951
     421      46.6517      12.3764    -102.4729
     422      38.1720      17.2451    -110.3658
     423      42.3159      20.9907    -121.7222
     424      51.1952     -47.8790    -109.1399
     425      50.5406     -23.5424    -107.3815
     426      55.0225     -33.9460     -99.0057
     427      46.6414     -33.0161    -106.0871
     428      59.4293     -36.8305     -93.1009
     429      69.6843     -50.2430     -94.3956
     430      62.4105     -37.1278    -101.5730
     431      58.5524     -20.6427     -92.6124
     432      52.4494    -105.2314     -67.8955
     433      55.9005     -91.5260     -77.0882
     434      59.5003     -88.9173     -78.4099
     435      31.9681    -169.1300     -46.2802
     436      28.5607    -172.4336     -52.2029
     437      26.0062    -171.4413     -50.2229
     438      38.3839    -158.4740     -56.5601
     439      23.9129     171.2356     -57.2751
     440      29.6192    -170.8593     -55.2684
     441      24.6534    -171.8046     -45.3971
     442      25.7172    -168.9768     -56.9499
     443      23.3244     170.9446     -52.2682
     444      34.9849    -174.7444     -49.6650
     445      21.4710     132.4484     -55.7842
     446      11.4460     136.2010     -52.1060
