Delta_44.2348	Delta_109.5944
0.413257	0.111328
0.261646	0.059603
0.364803	0.210701
0.206914	0.190726
0.280605	0.128126
0.352846	0.226397
0.196076	0.183034
0.197688	0.204436
0.323149	0.289110
0.155608	0.542597
0.247065	0.274450
0.105832	-0.204001
0.136286	-0.077069
0.073564	0.176226
0.060662	-0.043584
0.088670	-0.109903
0.273189	0.180203
0.181280	0.061612
0.162487	0.080032
0.244727	0.245793
-0.106093	1.030360
-0.087348	0.610003
0.043307	0.670196
-0.073440	0.896043
0.014753	0.580498
0.080741	0.602072
-0.064842	0.766255
-0.016547	0.746247
0.021761	0.768118
0.074697	0.615435
0.123236	0.562202
0.217255	0.560643
0.039413	0.781569
0.030863	0.974501
0.021145	0.643323
-0.086514	0.917930
0.046679	0.570491
0.040685	0.837819
-0.079400	0.586822
0.168976	0.418635
-0.097690	0.869643
-0.280031	0.946906
-0.038778	0.688316
0.080280	0.717988
0.158413	0.623264
0.053732	0.634029
-0.002454	0.838915
-0.034126	0.878237
0.084683	0.452014
-0.073902	0.776860
0.057055	0.670941
-0.104702	0.796715
0.147037	0.714718
-0.018445	0.692000
0.011947	0.863332
-0.105725	0.950386
0.067338	0.577526
-0.182635	0.771933
0.018066	0.620657
0.025319	0.711485
0.178322	0.533430
0.027271	0.779372
-0.015443	0.792674
0.088226	0.660712
0.195589	0.466033
0.175331	0.674914
-0.252954	0.939780
-0.557879	0.776090
-0.319516	0.972346
-0.464820	0.916984
-0.310264	0.789931
-0.217492	0.921265
-0.450674	0.797568
-0.440235	0.965703
0.045132	0.583024
-0.219302	0.831473
-0.101622	0.651676
-0.351314	0.899890
-0.314018	0.622922
-0.382431	0.358588
-0.309969	0.598367
-0.297423	0.551283
-0.465687	0.369528
-0.395947	0.490684
-0.380463	0.425009
-0.516031	0.498487
-0.372399	0.583647
-0.455622	0.482414
-0.533964	0.563233
-0.374469	0.507645
-0.510179	0.668400
-0.355539	0.477290
-0.423078	0.358082
-0.356609	0.410837
-0.377452	0.656987
-0.569199	0.566883
-0.521974	0.378265
-0.522550	0.448043
-0.371109	0.427758
-0.437297	0.373677
-0.295692	0.504070
-0.265014	0.333550
-0.113687	0.248226
-0.137087	0.259853
-0.123091	0.089263
0.103418	0.059764
0.331531	0.078315
0.127426	-0.180130
0.305686	0.164263
