Delta_59.8469	Delta_-94.5263	Delta_-73.7151
0.659701	3.062931	0.121684
0.412318	2.800824	0.299019
0.655937	3.011492	0.148915
0.636563	-2.204367	-0.211162
0.602556	-2.168402	-0.629854
0.626615	-2.010387	-0.339187
0.534666	-2.388117	-0.370059
0.605975	-2.244630	-0.483619
0.694671	-2.245090	-0.312271
0.195693	-1.167772	-0.483767
0.464184	-2.026908	-0.449625
0.620199	-2.445021	-0.468047
0.752562	-2.237770	-0.234052
0.600704	-2.342429	-0.068553
0.552423	-2.232498	-0.220789
0.651167	2.853524	0.305534
0.499716	2.879141	0.182692
0.709229	2.741073	0.315915
0.640161	2.797072	0.385311
0.562223	2.564100	0.357862
0.473494	2.897461	0.248233
0.425450	2.579365	0.374569
0.479135	2.677817	0.198315
0.594642	-2.382668	-0.316599
0.733602	-2.226447	-0.465305
0.580196	-2.083593	-0.325429
0.623664	-2.396428	-0.079208
0.474756	-2.426559	-0.262545
0.416437	-2.608984	-0.088406
0.157237	-0.874984	-0.435962
0.053941	-0.303117	0.297402
-0.127076	-0.153711	0.019131
0.013357	-0.469480	-0.132717
-0.088305	-0.109495	-0.010587
-0.115113	-0.700811	-0.440395
0.024895	-0.273692	-0.045956
-0.138045	-0.670994	-0.205369
0.382290	-2.334584	-0.267514
0.469661	-2.459984	-0.369750
0.472729	-2.328449	-0.162401
0.415418	-2.152426	-0.326775
0.493214	-2.513290	-0.390273
0.642012	-2.253334	-0.233919
0.588459	-2.423660	-0.372787
0.732867	-2.515501	-0.159630
0.802551	-2.079453	-0.154343
0.811198	-2.248384	-0.439767
0.678793	-2.263776	-0.267744
0.552400	-2.194949	-0.509957
0.535926	-2.371983	-0.516919
0.604484	-2.385291	-0.117064
0.922721	-2.435343	-0.265370
0.801666	-2.331727	-0.554123
0.831955	-2.467119	-0.433491
0.455870	-2.266279	-0.150088
0.658928	-2.186885	-0.153872
0.547716	-2.350876	-0.449150
0.615082	-2.335519	-0.527716
0.428555	-2.233096	-0.381752
0.287622	-2.336970	-0.331586
0.578955	-2.337790	-0.324506
0.610338	-2.285297	-0.369647
0.562750	-2.394375	-0.328965
0.472222	-2.205133	-0.395062
